Alter;Baden-Württemberg_M;Baden-Württemberg_F;Bayern_M;Bayern_F;Berlin_M;Berlin_F;Brandenburg_M;Brandenburg_F;Bremen_M;Bremen_F;Hamburg_M;Hamburg_F;Hessen_M;Hessen_F;Mecklenburg-Vorpommern_M;Mecklenburg-Vorpommern_F;Niedersachsen_M;Niedersachsen_F;Nordrhein-Westfalen_M;Nordrhein-Westfalen_F;Rheinland-Pfalz_M;Rheinland-Pfalz_F;Saarland_M;Saarland_F;Sachsen_M;Sachsen_F;Sachsen-Anhalt_M;Sachsen-Anhalt_W;Schleswig-Holstein_M;Schleswig-Holstein_F;Thüringen_M;Thüringen_F
78-Jährige;48580;60791;58984;73875;15252;19650;13979;18224;3136;3865;7268;9451;28154;34859;8431;11386;38617;47632;79939;103356;18811;24044;4713;6268;23723;31122;13086;17392;15336;18421;12490;16769
79-Jährige;46365;59187;56330;71643;13555;18384;13035;17500;2799;3793;6566;8967;26450;33542;8123;11530;36157;46123;75633;100319;18183;22891;4634;6384;22027;30101;12061;16582;14597;17944;11876;15845
80-Jährige;41032;54332;48613;63238;12163;16690;11350;15622;2578;3607;5974;8287;23173;30024;7240;10351;33085;42954;68574;92277;16090;20914;4100;5628;19137;26645;10182;14637;12990;16514;9812;13417
81-Jährige;36578;48577;41806;56528;10585;15486;9969;14121;2283;3255;5532;7488;20601;27203;6181;9154;28811;38337;60470;84936;14227;19129;3844;5659;16516;23681;8952;13227;11380;14606;8240;12048
82-Jährige;33269;45370;37004;51997;9606;14074;9096;13203;2075;3046;4932;7051;18676;25286;5457;8710;25225;35277;54558;78673;12961;17999;3585;5337;15023;22608;7916;12377;9990;13408;7483;11285
83-Jährige;29480;41384;32121;47487;8678;12961;8136;12237;1734;2761;4312;6606;16103;23300;4992;7989;22425;32475;48639;72790;11343;16484;3052;4569;14081;21072;6995;11561;8610;12250;6514;10424
84-Jährige;24369;35657;27198;41571;7435;11493;6793;10580;1482;2413;3367;5532;13781;20275;4161;7056;18478;28283;41728;64574;9701;14284;2381;3765;11546;18764;5840;10124;7180;10384;5545;9095
85-Jährige;18487;28137;20658;32910;4694;7817;4607;7679;1038;1727;2424;4050;9952;15253;2960;5357;12917;20898;29348;47883;6963;11010;1918;3039;8134;13825;4078;7549;4666;7411;3914;6595
86-Jährige;16060;26020;17961;30846;3952;6830;4078;7062;847;1651;2093;3624;8589;14069;2695;4953;11312;19572;25991;44451;6086;10071;1671;2913;6907;12425;3607;6797;3898;6642;3364;6267
87-Jährige;14280;23983;15721;28044;3587;6363;3489;6428;766;1512;1839;3514;7638;13123;2286;4400;10108;18474;22870;41485;5346;9607;1475;2709;6232;11991;3078;6374;3477;6415;2887;5604
88-Jährige;12606;22681;13923;26208;3191;6192;3090;6033;667;1477;1672;3356;6886;12946;1877;3997;9055;17691;20773;40082;4740;9259;1242;2367;5705;11750;2669;5970;3123;5825;2498;5551
89-Jährige;10058;19539;11288;22507;2590;5423;2399;5106;616;1249;1434;2998;5728;10975;1469;3344;7219;14968;16712;34208;3922;7899;1018;2087;4587;10328;2058;5106;2570;5078;1967;4707
90 Jahre und mehr;28341;73791;31933;85074;7187;21530;5694;17708;1820;5239;4463;12431;16497;43659;3296;11297;20502;58236;44682;127789;11155;30289;2629;7708;11754;37482;5143;17779;7381;20793;5116;16545
